Time (s),SH (m)
90600,0.0328
90660,0.0676
90720,0.0657
90780,0.0663
90840,0.0701
90900,0.0732
90960,0.0772
91020,0.0821
91080,0.0896
91140,0.098
91200,0.1048
91260,0.112
91320,0.1179
91380,0.124
91440,0.1299
91500,0.1356
91560,0.1415
91620,0.1474
91680,0.1525
91740,0.1579
91800,0.1633
91860,0.1683
91920,0.1738
91980,0.1794
92040,0.1846
92100,0.1904
92160,0.1957
92220,0.2012
92280,0.2072
92340,0.2129
92400,0.2183
92460,0.2245
92520,0.2304
92580,0.237
92640,0.242
92700,0.2478
92760,0.2526
92820,0.2541
92880,0.2549
92940,0.2551
93000,0.2554
93060,0.2558
93120,0.2554
93180,0.2557
93240,0.2559
93300,0.2558
93360,0.2559
93420,0.2561
93480,0.2561
93540,0.2562
93600,0.2559
93660,0.2562
93720,0.2561
93780,0.2566
93840,0.2566
93900,0.2566
93960,0.257
94020,0.257
94080,0.257
94140,0.2571
94200,0.253
94260,0.2495
94320,0.2471
94380,0.2448
94440,0.2426
94500,0.2403
94560,0.2382
94620,0.2359
94680,0.2338
94740,0.2316
94800,0.2295
94860,0.227
94920,0.2249
94980,0.2228
95040,0.2201
95100,0.2181
95160,0.2157
95220,0.2135
95280,0.2112
95340,0.2089
95400,0.2071
95460,0.2048
95520,0.2025
95580,0.2004
95640,0.1988
95700,0.1964
95760,0.1942
95820,0.1921
95880,0.1902
95940,0.1877
96000,0.1858
96060,0.184
96120,0.1817
96180,0.1796
96240,0.1774
96300,0.1752
96360,0.1733
96420,0.1713
96480,0.1694
96540,0.1673
96600,0.1653
96660,0.1631
96720,0.1614
96780,0.1594
96840,0.1573
96900,0.1553
96960,0.1534
97020,0.1514
97080,0.1493
97140,0.1477
97200,0.1455
97260,0.1436
97320,0.1415
97380,0.14
97440,0.1379
97500,0.1364
97560,0.1343
97620,0.1328
97680,0.1312
97740,0.1291
97800,0.1274
97860,0.1258
97920,0.124
97980,0.121
98040,0.1193
98100,0.1176
98160,0.1157
98220,0.1139
98280,0.1123
98340,0.1103
98400,0.1083
98460,0.1061
98520,0.1045
98580,0.1028
98640,0.1005
98700,0.0985
98760,0.0968
98820,0.0947
98880,0.0925
98940,0.0908
99000,0.0892
99060,0.0868
99120,0.0849
99180,0.0829
99240,0.081
99300,0.0793
99360,0.0741
99420,0.0291
99480,0.0117
99540,0.005
